Fact%%Source%%Link
"Only about 10 species of \"fox\" are classed as \"true foxes\" (genus vulpes)."%%Britannica%%https://www.britannica.com/animal/fox-mammal
"The red fox has the largest natural distribution of any land mammal except human beings."%%Britannica%%https://www.britannica.com/animal/fox-mammal
"Red foxes … weigh about 5–7 kg (10–15 pounds)."%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/red-fox
"Like a cat's, the fox's thick tail aids its balance, but it has other uses as well. A fox uses its tail (or “brush”) as a warm cover in cold weather and as a signal flag to communicate with other foxes."%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/red-fox
"At birth, young red foxes are usually brown or grey. The red coat usually grows by the end of their first month."%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/red-fox
"Both parents care for their young through the summer before they are able to strike out on their own in autumn."%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/red-fox
"There's an easter egg hidden somewhere in the app, try to find it!"%% %%
"...at the (Natural History) Museum there are a few footprints preserved in the concrete floor of the Darwin Centre collection's space from a fox exploring the site as it was being built."%%Natural History Museum%%https://www.nhm.ac.uk/discover/the-secret-life-of-urban-foxes.html
"Red foxes are very vocal compared to other fox species. They use barks, whines and throaty noises for a number of communication purposes."%%Natural History Museum%%https://www.nhm.ac.uk/discover/the-secret-life-of-urban-foxes.html
"Most foxes are born in March in litters of around four to five cubs. Vixens produce one litter a year."%%Natural History Museum%%https://www.nhm.ac.uk/discover/the-secret-life-of-urban-foxes.html
"The Arctic Fox is thought to have come to Iceland by its own means at the end of the last Ice Age, trotting across the frozen sea from mainland Scandinavia and Greenland."%%Guide To Iceland - Michael Chapman%%https://guidetoiceland.is/nature-info/the-arctic-fox
"The Arctic Fox is the only native mammal to Iceland"%%Guide To Iceland - Michael Chapman%%https://guidetoiceland.is/nature-info/the-arctic-fox
"Arctic Foxes tend to weigh between 3 to 5Kg (7-11lbs)"%%Guide To Iceland - Michael Chapman%%https://guidetoiceland.is/nature-info/the-arctic-fox
"During the autumn months, Arctic Foxes pack on fat reserves,increasing their body mass by 50%"%%Guide To Iceland - Michael Chapman%%https://guidetoiceland.is/nature-info/the-arctic-fox
"(Arctic Foxes) change their fur colour depending on the season"%%WWF%%https://www.wwf.org.uk/learn/fascinating-facts/arctic-fox
"Arctic foxes have a darker skin pigmentation—similar to Polar bears—underneath their fur coating. The darker skin colour is better at absorbing and retaining heat"%%WWF%%https://www.wwf.org.uk/learn/fascinating-facts/arctic-fox
"In 2018, a young, female arctic fox left her den in Spitsbergen, Norway and travelled more than 3,500 kilometres across sea ice and the vast, barren lands of the frozen Arctic to Ellesmere Island in northern Nunavut, Canada."%%WWF%%https://www.wwf.org.uk/learn/fascinating-facts/arctic-fox
"Foxes have complicated relationships with badgers. Sometimes the two species will compete for food, but they have also been recorded living alongside each other in badger setts."%%Woodland Trust%%https://www.woodlandtrust.org.uk/trees-woods-and-wildlife/animals/mammals/fox/
"The fennec fox is the smallest of all the world's foxes"%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/fennec-fox
"Fennec foxes dwell in the sandy Sahara and elsewhere in North Africa. Their nocturnal habits help them deal with the searing heat of the desert environment"%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/fennec-fox
"(Fennec Foxes) distinctive, batlike ears radiate body heat and help keep the foxes cool. They also have long, thick hair that insulates them during cold nights and protects them from hot sun during the day."%%National Geographic%%https://www.nationalgeographic.com/animals/mammals/facts/fennec-fox
